2018-05-10 11:20:26,775 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 53832 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 11:20:26,780 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 11:20:27,378 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@29df4d43: startup date [Thu May 10 11:20:27 CST 2018]; root of context hierarchy
2018-05-10 11:20:28,236 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 11:20:28,681 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 11:20:28,967 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 11:20:30,036 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-05-10 11:20:30,038 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 11:20:30,045 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-05-10 11:20:30,237 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:290 - Starting proxy at address: /127.0.0.1:9000
2018-05-10 11:20:30,317 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:336 - Proxy started at address: /127.0.0.1:9000
2018-05-10 11:20:30,319 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:57 - Started TeslaGateWayApplication in 4.689 seconds (JVM running for 5.12)
2018-05-10 11:21:08,158 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 53842 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 11:21:08,161 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 11:21:08,509 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@f80945f: startup date [Thu May 10 11:21:08 CST 2018]; root of context hierarchy
2018-05-10 11:21:09,096 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 11:21:09,508 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 11:21:09,770 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 11:21:10,406 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-05-10 11:21:10,408 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 11:21:10,412 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-05-10 11:21:10,595 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:290 - Starting proxy at address: /127.0.0.1:9000
2018-05-10 11:21:10,689 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:336 - Proxy started at address: /127.0.0.1:9000
2018-05-10 11:21:10,691 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:57 - Started TeslaGateWayApplication in 3.567 seconds (JVM running for 3.982)
2018-05-10 11:23:24,403 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:48 - Starting TeslaGateWayApplication on liu-shiming-MacBook-Pro.local with PID 53872 (/Users/liushiming/project/java/tesla/tesla-gateway/target/classes started by liushiming in /Users/liushiming/project/java/tesla/tesla-gateway)
2018-05-10 11:23:24,410 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:593 - No active profile set, falling back to default profiles: default
2018-05-10 11:23:24,767 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext:583 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@29df4d43: startup date [Thu May 10 11:23:24 CST 2018]; root of context hierarchy
2018-05-10 11:23:25,458 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-10 11:23:25,872 [main] INFO  com.alibaba.druid.pool.DruidDataSource:785 - {dataSource-2} inited
2018-05-10 11:23:26,168 [main] INFO  com.alibaba.dubbo.common.logger.LoggerFactory:59 - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-05-10 11:23:26,864 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-05-10 11:23:26,866 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:916 - Bean with name 'dataSource' has been autodetected for JMX exposure
2018-05-10 11:23:26,869 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter:671 - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2018-05-10 11:23:27,050 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:290 - Starting proxy at address: /127.0.0.1:9000
2018-05-10 11:23:27,130 [main] INFO  io.github.tesla.gateway.netty.HttpProxyServer:336 - Proxy started at address: /127.0.0.1:9000
2018-05-10 11:23:27,132 [main] INFO  io.github.tesla.gateway.TeslaGateWayApplication:57 - Started TeslaGateWayApplication in 3.83 seconds (JVM running for 4.241)
